component,repository,revision,date,working_tree_state,sha256,role
LlamaGen reconstruction exporter,farzinnasiri/LlamaGen,691545577d5d4d76c571c76812a8c39ae3680e2a,2026-04-16,modified,820f112f30e641e065f7a1bac839fe76dea710b960af3b5303336251242604a7,scripts/reconstruct_imagenet.py
LlamaGen robustness exporter,farzinnasiri/LlamaGen,d5e9f357c30f4dfbcbafb411830b6a9cb41ad40a,2026-03-12,committed,d1772b3e8c4ff6f0b1e4fcec09f638f4ff447aa412d64ad7d362c4a56d077d1e,scripts/llamagen_robustness_experiment_dataset_export.py
LlamaGen code-usage exporter,farzinnasiri/LlamaGen,e223eb4d4555d7d0cc13d6d07eeea7128c4ce2c5,2026-05-03,committed,3e9e84cbe975117a04efd3ae204b8e7db905b5e33e05e97ef49f96cc5405512e,scripts/llamagen_code_usage_export.py
VQGAN reconstruction exporter,farzinnasiri/taming-transformers,c8e99635242ae712187ec0603a68a53ac803c3ba,2026-04-16,modified,b0dd09971a7126ce3273cb96ef2d7ac1ea80c9fdeff520e58b57f41a89797e44,scripts/reconstruct_imagenet_single.py
VQGAN robustness exporter,farzinnasiri/taming-transformers,b3ecc86969da15e8af3df3348156c36d2fad6786,2026-03-12,committed,678072720cf5a5160aa814ad6ec1a1bc8f8920ea5f246acda887c1b4220bb1cd,scripts/vqgan_robustness_experiment_dataset_export.py
VQGAN code-usage exporter,farzinnasiri/taming-transformers,f9d98b813166e1d126f940a71ce3c6551eff39f6,2026-05-03,committed,c69b817b8f80cc327ec44d2d792d7c51d410c02e0ded941a031397b3c9afa61c,scripts/vqgan_code_usage_export.py
RQ1 analysis notebook,farzinnasiri/vq-explore,16025e81c89d0b466a3623dcd4977711f76147a8,2026-05-29,committed,0f0ca70e5f1dd8bbcf6e17c8b168a7a99508381a540bf78f664262ea5bc0aa74,notebooks/ch04_rq1_reconstruction_codebook_usage.ipynb
RQ2 analysis notebook,farzinnasiri/vq-explore,5cb7bc264d9c71a3a492ea18121fd4fe0dd3867f,2026-05-29,modified,58e53f28c4b64d4d2e0ccea606f8883eea5e2d2dd0695d292567f3f60207d6d5,notebooks/ch05_rq2_global_robustness.ipynb
RQ3 analysis notebook,farzinnasiri/vq-explore,02f0e527161b15e94f87b758a95fb1a6390a0b2b,2026-06-01,committed,542431d453cbef16891e93ff3bfe029140080814309272f50598440ab852c8f6,notebooks/ch06_rq3_local_image_perturbations.ipynb
RQ4 analysis notebook,farzinnasiri/vq-explore,fa16dcb9952d9a31b5615086db5004d463b8aaf1,2026-06-04,committed,2bf0dd2ebcce905bce6f4cba425926fd602a1164585f7fbcc44d5e085777cef3,notebooks/ch07_rq4_token_space_perturbations.ipynb
RQ5 analysis notebook,farzinnasiri/vq-explore,929634c9351d22a27e44f660bc23e98b131e776e,2026-08-05,committed,2e13b21d927a2b30f31d1082ef2e3fdd76021caefb28ddce75f69f032ef6dcbc,notebooks/ch08_rq5_distribution_shift.ipynb
