model,sample_id,level,sigma,token_flip_frac
vqgan,n01440764/ILSVRC2012_val_00000293,low,0.1,0.69921875
vqgan,n01440764/ILSVRC2012_val_00000293,mid,0.2,0.87109375
vqgan,n01440764/ILSVRC2012_val_00000293,high,0.5,1.0
vqgan,n01440764/ILSVRC2012_val_00011993,low,0.1,0.59765625
vqgan,n01440764/ILSVRC2012_val_00011993,mid,0.2,0.83203125
vqgan,n01440764/ILSVRC2012_val_00011993,high,0.5,0.984375
vqgan,n01440764/ILSVRC2012_val_00018317,low,0.1,0.5390625
vqgan,n01440764/ILSVRC2012_val_00018317,mid,0.2,0.79296875
vqgan,n01440764/ILSVRC2012_val_00018317,high,0.5,0.96484375
vqgan,n01440764/ILSVRC2012_val_00025129,low,0.1,0.6171875
vqgan,n01440764/ILSVRC2012_val_00025129,mid,0.2,0.8203125
vqgan,n01440764/ILSVRC2012_val_00025129,high,0.5,0.9296875
vqgan,n01440764/ILSVRC2012_val_00031094,low,0.1,0.6015625
vqgan,n01440764/ILSVRC2012_val_00031094,mid,0.2,0.81640625
vqgan,n01440764/ILSVRC2012_val_00031094,high,0.5,0.9765625
vqgan,n01440764/ILSVRC2012_val_00040358,low,0.1,0.625
vqgan,n01440764/ILSVRC2012_val_00040358,mid,0.2,0.83984375
vqgan,n01440764/ILSVRC2012_val_00040358,high,0.5,0.97265625
vqgan,n01440764/ILSVRC2012_val_00048204,low,0.1,0.70703125
vqgan,n01440764/ILSVRC2012_val_00048204,mid,0.2,0.84375
vqgan,n01440764/ILSVRC2012_val_00048204,high,0.5,0.97265625
vqgan,n01443537/ILSVRC2012_val_00003150,low,0.1,0.88671875
vqgan,n01443537/ILSVRC2012_val_00003150,mid,0.2,0.96875
vqgan,n01443537/ILSVRC2012_val_00003150,high,0.5,0.99609375
vqgan,n01443537/ILSVRC2012_val_00010509,low,0.1,0.8515625
vqgan,n01443537/ILSVRC2012_val_00010509,mid,0.2,0.9296875
vqgan,n01443537/ILSVRC2012_val_00010509,high,0.5,0.984375
vqgan,n01443537/ILSVRC2012_val_00021905,low,0.1,0.671875
vqgan,n01443537/ILSVRC2012_val_00021905,mid,0.2,0.859375
vqgan,n01443537/ILSVRC2012_val_00021905,high,0.5,0.96484375
vqgan,n01443537/ILSVRC2012_val_00032258,low,0.1,0.796875
vqgan,n01443537/ILSVRC2012_val_00032258,mid,0.2,0.94140625
vqgan,n01443537/ILSVRC2012_val_00032258,high,0.5,0.98828125
vqgan,n01443537/ILSVRC2012_val_00045761,low,0.1,0.84765625
vqgan,n01443537/ILSVRC2012_val_00045761,mid,0.2,0.94921875
vqgan,n01443537/ILSVRC2012_val_00045761,high,0.5,0.9921875
vqgan,n01443537/ILSVRC2012_val_00049712,low,0.1,0.79296875
vqgan,n01443537/ILSVRC2012_val_00049712,mid,0.2,0.9375
vqgan,n01443537/ILSVRC2012_val_00049712,high,0.5,0.98828125
vqgan,n01484850/ILSVRC2012_val_00008848,low,0.1,0.8984375
vqgan,n01484850/ILSVRC2012_val_00008848,mid,0.2,0.95703125
vqgan,n01484850/ILSVRC2012_val_00008848,high,0.5,0.98046875
vqgan,n01484850/ILSVRC2012_val_00017194,low,0.1,0.875
vqgan,n01484850/ILSVRC2012_val_00017194,mid,0.2,0.9296875
vqgan,n01484850/ILSVRC2012_val_00017194,high,0.5,0.9921875
vqgan,n01484850/ILSVRC2012_val_00027419,low,0.1,0.87109375
vqgan,n01484850/ILSVRC2012_val_00027419,mid,0.2,0.94140625
vqgan,n01484850/ILSVRC2012_val_00027419,high,0.5,1.0
vqgan,n01484850/ILSVRC2012_val_00032288,low,0.1,0.91015625
vqgan,n01484850/ILSVRC2012_val_00032288,mid,0.2,0.98828125
