model,level,sigma,band,count_tokens_total,mean_embedding_distance,flip_probability
VQGAN,low,0.1,inside_d0,3200000,0.7876053125,0.7876053125
VQGAN,low,0.1,boundary_d1,1422912,0.5973897191112311,0.5973897191112311
VQGAN,low,0.1,near_d1_2,2827320,0.5095136029879886,0.5095136029879886
VQGAN,low,0.1,far_ge_6,3062726,0.1741030702713856,0.1741030702713856
VQGAN,mid,0.25,inside_d0,3200000,0.9520390625,0.9520390625
VQGAN,mid,0.25,boundary_d1,1422912,0.8271572662258805,0.8271572662258805
VQGAN,mid,0.25,near_d1_2,2827320,0.7313416946083217,0.7313416946083217
VQGAN,mid,0.25,far_ge_6,3062726,0.2654537167216395,0.2654537167216395
VQGAN,high,0.5,inside_d0,3200000,0.987679375,0.987679375
VQGAN,high,0.5,boundary_d1,1422912,0.9165949826833986,0.9165949826833986
VQGAN,high,0.5,near_d1_2,2827320,0.829541049474414,0.829541049474414
VQGAN,high,0.5,far_ge_6,3062726,0.33280744016931324,0.33280744016931324
LlamaGen,low,0.1,inside_d0,3200000,0.8216734375,0.8216734375
LlamaGen,low,0.1,boundary_d1,1422912,0.6133787613007692,0.6133787613007692
LlamaGen,low,0.1,near_d1_2,2827320,0.5204179222726822,0.5204179222726822
LlamaGen,low,0.1,far_ge_6,3062726,0.17847042144808248,0.17847042144808248
LlamaGen,mid,0.25,inside_d0,3200000,0.9604615625,0.9604615625
LlamaGen,mid,0.25,boundary_d1,1422912,0.8319495513425988,0.8319495513425988
LlamaGen,mid,0.25,near_d1_2,2827320,0.7236566784092356,0.7236566784092356
LlamaGen,mid,0.25,far_ge_6,3062726,0.25951293063760844,0.25951293063760844
LlamaGen,high,0.5,inside_d0,3200000,0.9909175,0.9909175
LlamaGen,high,0.5,boundary_d1,1422912,0.9220113401250394,0.9220113401250394
LlamaGen,high,0.5,near_d1_2,2827320,0.8165782437078223,0.8165782437078223
LlamaGen,high,0.5,far_ge_6,3062726,0.3284355179013728,0.3284355179013728
