model,level,sigma,distance,count_tokens_total,mean_embedding_distance,flip_probability
vqgan,low,0.1,0,3200000,0.7876053125,0.7876053125
vqgan,low,0.1,1,1422912,0.5973897191112311,0.5973897191112311
vqgan,low,0.1,2,1404408,0.4204796611810812,0.4204796611810812
vqgan,low,0.1,3,1345483,0.294814575880929,0.294814575880929
vqgan,low,0.1,4,1247461,0.2260102720646176,0.2260102720646176
vqgan,low,0.1,5,1117010,0.1959660164188324,0.1959660164188324
vqgan,low,0.1,6,951939,0.183695593940368,0.183695593940368
vqgan,low,0.1,7,758797,0.1779514152006399,0.1779514152006399
vqgan,low,0.1,8,539705,0.1706969548179097,0.1706969548179097
vqgan,low,0.1,9,295818,0.1637459519028591,0.1637459519028591
vqgan,low,0.1,10,206889,0.1618404071748619,0.1618404071748619
vqgan,low,0.1,11,137713,0.1595709918453595,0.1595709918453595
vqgan,low,0.1,12,85927,0.1610553143947769,0.1610553143947769
vqgan,low,0.1,13,49090,0.1568343858219596,0.1568343858219596
vqgan,low,0.1,14,24505,0.1576821056927157,0.1576821056927157
vqgan,low,0.1,15,9855,0.1547437848807711,0.1547437848807711
vqgan,low,0.1,16,2488,0.1543408360128617,0.1543408360128617
vqgan,mid,0.25,0,3200000,0.9520390625,0.9520390625
vqgan,mid,0.25,1,1422912,0.8271572662258805,0.8271572662258805
vqgan,mid,0.25,2,1404408,0.6342636897539746,0.6342636897539746
vqgan,mid,0.25,3,1345483,0.4484203813797722,0.4484203813797722
vqgan,mid,0.25,4,1247461,0.3394695305103726,0.3394695305103726
vqgan,mid,0.25,5,1117010,0.2938935193060044,0.2938935193060044
vqgan,mid,0.25,6,951939,0.2767456738299408,0.2767456738299408
vqgan,mid,0.25,7,758797,0.2701289014057778,0.2701289014057778
vqgan,mid,0.25,8,539705,0.2603885455943525,0.2603885455943525
vqgan,mid,0.25,9,295818,0.2545450243054851,0.2545450243054851
vqgan,mid,0.25,10,206889,0.2524107129910242,0.2524107129910242
vqgan,mid,0.25,11,137713,0.2482409068134453,0.2482409068134453
vqgan,mid,0.25,12,85927,0.2492697289559742,0.2492697289559742
vqgan,mid,0.25,13,49090,0.2450397229578325,0.2450397229578325
vqgan,mid,0.25,14,24505,0.2425219342991226,0.2425219342991226
vqgan,mid,0.25,15,9855,0.2420091324200913,0.2420091324200913
vqgan,mid,0.25,16,2488,0.2327170418006431,0.2327170418006431
vqgan,high,0.5,0,3200000,0.987679375,0.987679375
vqgan,high,0.5,1,1422912,0.9165949826833986,0.9165949826833986
vqgan,high,0.5,2,1404408,0.7413401233829485,0.7413401233829485
vqgan,high,0.5,3,1345483,0.535681238633264,0.535681238633264
vqgan,high,0.5,4,1247461,0.4109571361349172,0.4109571361349172
vqgan,high,0.5,5,1117010,0.3602993706412655,0.3602993706412655
vqgan,high,0.5,6,951939,0.3427593574798385,0.3427593574798385
vqgan,high,0.5,7,758797,0.3364140870351358,0.3364140870351358
vqgan,high,0.5,8,539705,0.3280032610407537,0.3280032610407537
vqgan,high,0.5,9,295818,0.3239762286270612,0.3239762286270612
vqgan,high,0.5,10,206889,0.3226367762423328,0.3226367762423328
vqgan,high,0.5,11,137713,0.3177768257172525,0.3177768257172525
vqgan,high,0.5,12,85927,0.3188171354754617,0.3188171354754617
vqgan,high,0.5,13,49090,0.3159706661234467,0.3159706661234467
vqgan,high,0.5,14,24505,0.3122219955111202,0.3122219955111202
vqgan,high,0.5,15,9855,0.313039066463724,0.313039066463724
vqgan,high,0.5,16,2488,0.2913987138263665,0.2913987138263665
llamagen,low,0.1,0,3200000,0.8216734375,0.8216734375
llamagen,low,0.1,1,1422912,0.6133787613007692,0.6133787613007692
llamagen,low,0.1,2,1404408,0.4262322629891029,0.4262322629891029
llamagen,low,0.1,3,1345483,0.2849749866776466,0.2849749866776466
llamagen,low,0.1,4,1247461,0.2214995098043145,0.2214995098043145
llamagen,low,0.1,5,1117010,0.196193409190607,0.196193409190607
llamagen,low,0.1,6,951939,0.1865245567205461,0.1865245567205461
llamagen,low,0.1,7,758797,0.1821646632762122,0.1821646632762122
llamagen,low,0.1,8,539705,0.1763537488072187,0.1763537488072187
llamagen,low,0.1,9,295818,0.1686442339546613,0.1686442339546613
llamagen,low,0.1,10,206889,0.1666690834215448,0.1666690834215448
llamagen,low,0.1,11,137713,0.1663241669268696,0.1663241669268696
llamagen,low,0.1,12,85927,0.1642440676388097,0.1642440676388097
llamagen,low,0.1,13,49090,0.1648400896312894,0.1648400896312894
llamagen,low,0.1,14,24505,0.1647826974086921,0.1647826974086921
llamagen,low,0.1,15,9855,0.1751395230847285,0.1751395230847285
llamagen,low,0.1,16,2488,0.1595659163987138,0.1595659163987138
llamagen,mid,0.25,0,3200000,0.9604615625,0.9604615625
llamagen,mid,0.25,1,1422912,0.8319495513425988,0.8319495513425988
llamagen,mid,0.25,2,1404408,0.613936975579746,0.613936975579746
llamagen,mid,0.25,3,1345483,0.4133883519895829,0.4133883519895829
llamagen,mid,0.25,4,1247461,0.3168307466125193,0.3168307466125193
llamagen,mid,0.25,5,1117010,0.2814030313067922,0.2814030313067922
llamagen,mid,0.25,6,951939,0.2685518714959677,0.2685518714959677
llamagen,mid,0.25,7,758797,0.2628436854652825,0.2628436854652825
llamagen,mid,0.25,8,539705,0.2565271768836679,0.2565271768836679
llamagen,mid,0.25,9,295818,0.2499205592627899,0.2499205592627899
llamagen,mid,0.25,10,206889,0.246238321032051,0.246238321032051
llamagen,mid,0.25,11,137713,0.2475002359980539,0.2475002359980539
llamagen,mid,0.25,12,85927,0.2459064089285091,0.2459064089285091
llamagen,mid,0.25,13,49090,0.245060093705439,0.245060093705439
llamagen,mid,0.25,14,24505,0.2461130381554784,0.2461130381554784
llamagen,mid,0.25,15,9855,0.2562151192288178,0.2562151192288178
llamagen,mid,0.25,16,2488,0.2423633440514469,0.2423633440514469
llamagen,high,0.5,0,3200000,0.9909175,0.9909175
llamagen,high,0.5,1,1422912,0.9220113401250394,0.9220113401250394
llamagen,high,0.5,2,1404408,0.7097559968328292,0.7097559968328292
llamagen,high,0.5,3,1345483,0.4936859105614861,0.4936859105614861
llamagen,high,0.5,4,1247461,0.3849010109334079,0.3849010109334079
llamagen,high,0.5,5,1117010,0.346302181717263,0.346302181717263
llamagen,high,0.5,6,951939,0.3345918173328333,0.3345918173328333
llamagen,high,0.5,7,758797,0.3306536530850807,0.3306536530850807
llamagen,high,0.5,8,539705,0.3261003696463809,0.3261003696463809
llamagen,high,0.5,9,295818,0.3210419920356435,0.3210419920356435
llamagen,high,0.5,10,206889,0.319669001251879,0.319669001251879
llamagen,high,0.5,11,137713,0.320761293414565,0.320761293414565
llamagen,high,0.5,12,85927,0.3204929765964132,0.3204929765964132
llamagen,high,0.5,13,49090,0.3204522305968629,0.3204522305968629
llamagen,high,0.5,14,24505,0.3227504590899816,0.3227504590899816
llamagen,high,0.5,15,9855,0.330492135971588,0.330492135971588
llamagen,high,0.5,16,2488,0.3155144694533762,0.3155144694533762
